signature_type,election,category,contest,vote_class,signature,unit,candidate_names
all_candidates,2014-local,기초의원비례대표,서울특별시|강동구,관내사전투표,649|848,성내제3동|관내사전투표,새누리당|새정치민주연합
all_candidates,2014-local,기초의원비례대표,서울특별시|강동구,관내사전투표,649|848,암사제1동|관내사전투표,새누리당|새정치민주연합
all_candidates,2016-assembly,국회의원,경상북도|상주시군위군의성군청송군,관내사전투표,231|66,비안면|관내사전투표,김종태|김영태
all_candidates,2016-assembly,국회의원,경상북도|상주시군위군의성군청송군,관내사전투표,231|66,화서면|관내사전투표,김종태|김영태
all_candidates,2016-assembly,국회의원,충청북도|보은군옥천군영동군괴산군,관내사전투표,167|123,군북면|관내사전투표,박덕흠|이재한
all_candidates,2016-assembly,국회의원,충청북도|보은군옥천군영동군괴산군,관내사전투표,167|123,청안면|관내사전투표,박덕흠|이재한
all_candidates,2018-local,교육감,강원도|강원도,관내사전투표,270|288,북방면|관내사전투표,신경호|민병희
all_candidates,2018-local,교육감,강원도|강원도,관내사전투표,270|288,삼수동|관내사전투표,신경호|민병희
all_candidates,2022-local,시·도지사,충청북도|충청북도,관내사전투표,158|319,내북면|관내사전투표,노영민|김영환
all_candidates,2022-local,시·도지사,충청북도|충청북도,관내사전투표,158|319,양산면|관내사전투표,노영민|김영환
top2_candidates,2014-local,교육감,강원도|강원도,관내사전투표,59|83,동면|관내사전투표,김선배|민병희
top2_candidates,2014-local,교육감,강원도|강원도,관내사전투표,59|83,현북면|관내사전투표,김선배|민병희
top2_candidates,2014-local,시·도지사,강원도|강원도,관내사전투표,80|49,김삿갓면|관내사전투표,최흥집|최문순
top2_candidates,2014-local,시·도지사,강원도|강원도,관내사전투표,80|49,두촌면|관내사전투표,최흥집|최문순
top2_candidates,2014-local,시·도지사,강원도|강원도,관내사전투표,95|57,묵호동|관내사전투표,최흥집|최문순
top2_candidates,2014-local,시·도지사,강원도|강원도,관내사전투표,95|57,부론면|관내사전투표,최흥집|최문순
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,154|19,능곡동|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,154|19,법원읍|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,36|3,율면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,36|3,파평면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,37|6,은현면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,37|6,청운면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,43|6,강하면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,43|6,양동면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,67|7,탄현면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,67|7,호법면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,74|20,상대원3동|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,74|20,양주1동|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,90|21,문원동|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,90|21,일동면|관내사전투표,조전혁|정종희
top2_candidates,2014-local,교육감,경상남도|경상남도,관내사전투표,109|85,석전1동|관내사전투표,박종훈|고영진
top2_candidates,2014-local,교육감,경상남도|경상남도,관내사전투표,109|85,적량면|관내사전투표,박종훈|고영진
top2_candidates,2014-local,광역의원비례대표,경상남도|경상남도,관내사전투표,121|30,차황면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,경상남도|경상남도,관내사전투표,121|30,함안면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,경상남도|경상남도,관내사전투표,185|19,북상면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,경상남도|경상남도,관내사전투표,185|19,쌍백면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,시·도지사,경상남도|경상남도,관내사전투표,293|83,부곡면|관내사전투표,홍준표|김경수
top2_candidates,2014-local,시·도지사,경상남도|경상남도,관내사전투표,293|83,웅양면|관내사전투표,홍준표|김경수
top2_candidates,2014-local,교육감,경상남도|경상남도,관내사전투표,31|44,사봉면|관내사전투표,박종훈|고영진
top2_candidates,2014-local,교육감,경상남도|경상남도,관내사전투표,31|44,칠곡면|관내사전투표,박종훈|고영진
top2_candidates,2014-local,광역의원비례대표,경상북도|경상북도,관내사전투표,120|22,가음면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,경상북도|경상북도,관내사전투표,120|22,상운면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,160|23,초전면|관내사전투표,김관용|오중기
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,160|23,현동면|관내사전투표,김관용|오중기
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,186|28,안덕면|관내사전투표,김관용|오중기
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,186|28,지산동|관내사전투표,김관용|오중기
top2_candidates,2014-local,광역의원비례대표,경상북도|경상북도,관내사전투표,204|43,개령면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,경상북도|경상북도,관내사전투표,204|43,농소면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,342|43,봉양면|관내사전투표,김관용|오중기
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,342|43,평화동|관내사전투표,김관용|오중기
top2_candidates,2014-local,구·시·군의회의원,경상북도|안동시라선거구,관내사전투표,17|37,녹전면|관내사전투표,권기익|이숙희
top2_candidates,2014-local,구·시·군의회의원,경상북도|안동시라선거구,관내사전투표,17|37,도산면|관내사전투표,권기익|이숙희
top2_candidates,2014-local,교육감,부산광역시|부산광역시,관내사전투표,104|134,덕천제1동|관내사전투표,박맹언|임혜경
top2_candidates,2014-local,교육감,부산광역시|부산광역시,관내사전투표,104|134,만덕제1동|관내사전투표,박맹언|임혜경
