signature_type,election,category,contest,vote_class,signature,duplicate_units
all_candidates,2014-local,기초의원비례대표,서울특별시|강동구,관내사전투표,649|848,2
all_candidates,2016-assembly,국회의원,충청북도|보은군옥천군영동군괴산군,관내사전투표,167|123,2
all_candidates,2016-assembly,국회의원,경상북도|상주시군위군의성군청송군,관내사전투표,231|66,2
all_candidates,2018-local,교육감,강원도|강원도,관내사전투표,270|288,2
all_candidates,2022-local,시·도지사,충청북도|충청북도,관내사전투표,158|319,2
top2_candidates,2014-local,시·도지사,강원도|강원도,관내사전투표,95|57,2
top2_candidates,2014-local,시·도지사,강원도|강원도,관내사전투표,80|49,2
top2_candidates,2014-local,시·도지사,충청남도|충청남도,관내사전투표,61|54,2
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,50|174,2
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,41|145,2
top2_candidates,2014-local,시·도지사,전라북도|전라북도,관내사전투표,27|174,2
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,342|43,2
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,186|28,2
top2_candidates,2014-local,시·도지사,경상북도|경상북도,관내사전투표,160|23,2
top2_candidates,2014-local,시·도지사,경상남도|경상남도,관내사전투표,293|83,2
top2_candidates,2014-local,구·시·군의장,전라북도|임실군,관내사전투표,28|11,2
top2_candidates,2014-local,구·시·군의회의원,경상북도|안동시라선거구,관내사전투표,17|37,2
top2_candidates,2014-local,광역의원비례대표,충청북도|충청북도,관내사전투표,114|70,2
top2_candidates,2014-local,광역의원비례대표,충청남도|충청남도,관내사전투표,139|85,2
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,27|140,2
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,29|234,2
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,25|191,2
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,24|124,2
top2_candidates,2014-local,광역의원비례대표,경상북도|경상북도,관내사전투표,204|43,2
top2_candidates,2014-local,광역의원비례대표,경상북도|경상북도,관내사전투표,120|22,2
top2_candidates,2014-local,광역의원비례대표,경상남도|경상남도,관내사전투표,121|30,2
top2_candidates,2014-local,광역의원비례대표,경상남도|경상남도,관내사전투표,185|19,2
top2_candidates,2014-local,기초의원비례대표,서울특별시|강동구,관내사전투표,649|848,2
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,33|429,2
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,28|355,2
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,101|402,2
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,67|402,2
top2_candidates,2014-local,교육감,부산광역시|부산광역시,관내사전투표,104|134,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,74|20,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,37|6,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,154|19,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,90|21,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,67|7,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,36|3,2
top2_candidates,2014-local,교육감,경기도|경기도,관내사전투표,43|6,2
