election,category,vote_class,units,all_candidate_duplicate_groups,all_candidate_duplicate_units,top2_duplicate_groups,top2_duplicate_units
2014-local,광역의원비례대표,관내사전투표,3430,0,0,10,20
2014-local,광역의원비례대표,관외사전투표,251,0,0,0,0
2014-local,교육감,관내사전투표,3430,0,0,24,48
2014-local,교육감,관외사전투표,251,0,0,0,0
2014-local,교육의원,관내사전투표,36,0,0,0,0
2014-local,교육의원,관외사전투표,4,0,0,0,0
2014-local,구·시·군의장,관내사전투표,3335,0,0,1,2
2014-local,구·시·군의장,관외사전투표,244,0,0,0,0
2014-local,구·시·군의회의원,관내사전투표,3289,0,0,1,2
2014-local,구·시·군의회의원,관외사전투표,1002,0,0,0,0
2014-local,기초의원비례대표,관내사전투표,2682,1,2,1,2
2014-local,기초의원비례대표,관외사전투표,183,0,0,0,0
2014-local,시·도의회의원,관내사전투표,3130,0,0,0,0
2014-local,시·도의회의원,관외사전투표,652,0,0,0,0
2014-local,시·도지사,관내사전투표,3430,0,0,10,20
2014-local,시·도지사,관외사전투표,251,0,0,0,0
2016-assembly,국회의원,관내사전투표,3409,2,4,4,8
2016-assembly,국회의원,관외사전투표,252,0,0,0,0
2017-presidential,대통령,관내사전투표,3434,0,0,13,26
2017-presidential,대통령,관외사전투표,250,0,0,0,0
2018-local,교육감,관내사전투표,3439,1,2,12,24
2018-local,교육감,관외사전투표,250,0,0,0,0
2018-local,교육의원,관내사전투표,9,0,0,0,0
2018-local,교육의원,관외사전투표,1,0,0,0,0
2018-local,구·시·군의장,관내사전투표,3379,0,0,1,2
2018-local,구·시·군의장,관외사전투표,247,0,0,0,0
2018-local,구·시·군의회의원,관내사전투표,3337,0,0,0,0
2018-local,구·시·군의회의원,관외사전투표,1020,0,0,0,0
2018-local,국회의원재보궐,관내사전투표,153,0,0,0,0
2018-local,국회의원재보궐,관외사전투표,16,0,0,0,0
2018-local,기초의원비례대표,관내사전투표,3113,0,0,0,0
2018-local,기초의원비례대표,관외사전투표,219,0,0,0,0
2018-local,시·도의회의원,관내사전투표,3341,0,0,0,0
2018-local,시·도의회의원,관외사전투표,713,0,0,0,0
2018-local,시·도지사,관내사전투표,3439,0,0,1,2
2018-local,시·도지사,관외사전투표,250,0,0,0,0
2020-assembly,국회의원,관내사전투표,3428,0,0,0,0
2020-assembly,국회의원,관외사전투표,253,0,0,0,0
2022-local,교육감,관내사전투표,3453,0,0,8,16
2022-local,교육감,관외사전투표,250,0,0,0,0
2022-local,구·시·군의장,관내사전투표,3295,0,0,0,0
2022-local,구·시·군의장,관외사전투표,241,0,0,0,0
2022-local,시·도지사,관내사전투표,3453,1,2,2,4
2022-local,시·도지사,관외사전투표,250,0,0,0,0
2022-presidential,대통령,관내사전투표,3453,0,0,1,2
2022-presidential,대통령,관외사전투표,250,0,0,0,0
2024-assembly,국회의원,관내사전투표,3500,0,0,0,0
2024-assembly,국회의원,관외사전투표,254,0,0,0,0
2025-presidential,대통령,관내사전투표,3497,0,0,0,0
2025-presidential,대통령,관외사전투표,253,0,0,0,0
