election,sido,district,dem_name,con_party,con_name,early_dem,early_con,day_dem,day_con,early_two_party_votes,day_two_party_votes,early_dem_share,day_dem_share,early_minus_day_pp,z
2016-assembly,서울특별시,종로구,정세균,새누리당,오세훈,10252,7281,33755,25931,17533,59686,0.584725945360178,0.5655430084106826,1.9182936949495355,4.510587825237953
2016-assembly,서울특별시,중구성동구갑,홍익표,새누리당,김동성,10132,7775,40169,36245,17907,76414,0.5658122521918802,0.5256759232601356,4.013632893174468,9.690058539097299
2016-assembly,서울특별시,중구성동구을,이지수,새누리당,지상욱,4812,6980,19210,30823,11792,50033,0.4080732700135685,0.38394659524713687,2.4126674766431657,4.835415800002616
2016-assembly,서울특별시,용산구,진영,새누리당,황춘자,11256,8786,37245,36635,20042,73880,0.5616205967468316,0.5041283161884137,5.749228055841793,14.445197439444398
2016-assembly,서울특별시,광진구갑,전혜숙,새누리당,정송학,6787,5660,28818,27638,12447,56456,0.5452719530810637,0.510450616409239,3.482133667182463,7.036996439095117
2016-assembly,서울특별시,광진구을,추미애,새누리당,정준길,9450,6818,34238,26745,16268,60983,0.580895008605852,0.561435154059328,1.9459854546523991,4.44888982811603
2016-assembly,서울특별시,동대문구갑,안규백,새누리당,허용범,8336,5841,31099,29610,14177,60709,0.587994639204345,0.5122634205801446,7.57312186242004,16.26068375994
2016-assembly,서울특별시,동대문구을,민병두,새누리당,박준선,8338,4730,41359,27901,13068,69260,0.6380471380471381,0.5971556453941669,4.08914926529712,8.76541080443516
2016-assembly,서울특별시,중랑구갑,서영교,새누리당,김진수,9089,4887,36547,21631,13976,58178,0.6503291356611334,0.6281927876516896,2.213634800944375,4.873969987773871
2016-assembly,서울특별시,중랑구을,박홍근,새누리당,강동호,9003,7177,40311,33749,16180,74060,0.5564276885043263,0.5443019173642992,1.2125771140027108,2.8067598641048086
2016-assembly,서울특별시,성북구갑,유승희,새누리당,정태근,12802,8767,44613,34798,21569,79411,0.5935370207241875,0.5617987432471572,3.1738277477030286,8.345931768476511
2016-assembly,서울특별시,성북구을,기동민,새누리당,김효재,7650,5571,32911,27959,13221,60870,0.5786249149081008,0.5406768523081978,3.794806259990291,7.945752560319305
2016-assembly,서울특별시,강북구갑,천준호,새누리당,정양석,5424,5105,20798,24892,10529,45690,0.5151486370975401,0.4551980739768002,5.995056312073993,11.116476359871708
2016-assembly,서울특별시,강북구을,박용진,새누리당,안홍렬,7317,4505,32823,23181,11822,56004,0.6189308069700559,0.5860831369187915,3.284767005126432,6.602963278856424
2016-assembly,서울특별시,도봉구갑,인재근,새누리당,이재범,9975,6196,39494,26732,16171,66226,0.6168449693896482,0.5963518859662368,2.0493083423411385,4.769759334370583
2016-assembly,서울특별시,도봉구을,오기형,새누리당,김선동,6045,7256,26053,31363,13301,57416,0.4544771069844373,0.453758534206493,0.0718572777944293,0.14998636843028715
2016-assembly,서울특별시,노원구갑,고용진,새누리당,이노근,6874,6037,29092,27911,12911,57003,0.5324142204321896,0.5103591039068119,2.2055116525377616,4.527589686205747
2016-assembly,서울특별시,노원구을,우원식,새누리당,홍범식,9938,5123,45271,26655,15061,71926,0.6598499435628444,0.6294107833050635,3.043916025778093,7.054422742032508
2016-assembly,서울특별시,노원구병,황창화,새누리당,이준석,2841,6402,11404,25726,9243,37130,0.3073677377474846,0.30713708591435496,0.0230651833129647,0.043011578936247644
2016-assembly,서울특별시,은평구갑,박주민,새누리당,최홍재,10088,7815,47333,34981,17903,82314,0.5634809808411998,0.5750297640741551,-1.1548783232955273,-2.8311946092470666
2016-assembly,서울특별시,서대문구갑,우상호,새누리당,이성헌,8715,5857,33898,25476,14572,59374,0.5980647817732638,0.5709232997608381,2.714148201242572,5.9412331014048485
2016-assembly,서울특별시,서대문구을,김영호,새누리당,정두언,8235,6328,33018,27339,14563,60357,0.56547414681041,0.5470450817635071,1.8429065046902893,4.012928823562453
2016-assembly,서울특별시,마포구갑,노웅래,새누리당,안대희,8650,5027,35453,23236,13677,58689,0.6324486363968707,0.6040825367615738,2.8366099635296904,6.123468538038787
