election,contest,units,comparison_pairs,duplicate_groups,collision_pairs,candidate_1,candidate_2
2014-local,강원도|강원도,183,16653,2,2,최문순,최흥집
2014-local,경기도|경기도,543,147153,0,0,김진표,남경필
2014-local,경상남도|경상남도,312,48516,1,1,홍준표,김경수
2014-local,경상북도|경상북도,327,53301,3,3,김관용,오중기
2014-local,광주광역시|광주광역시,93,4278,0,0,윤장현,강운태
2014-local,대구광역시|대구광역시,139,9591,0,0,권영진,김부겸
2014-local,대전광역시|대전광역시,78,3003,0,0,권선택,박성효
2014-local,부산광역시|부산광역시,210,21945,0,0,오거돈,서병수
2014-local,서울특별시|서울특별시,406,82215,0,0,박원순,정몽준
2014-local,세종특별자치시|세종특별자치시,12,66,0,0,이춘희,유한식
2014-local,울산광역시|울산광역시,56,1540,0,0,김기현,조승수
2014-local,인천광역시|인천광역시,141,9870,0,0,유정복,송영길
2014-local,전라남도|전라남도,294,43071,2,2,이낙연,이성수
2014-local,전라북도|전라북도,234,27261,3,3,송하진,박철곤
2014-local,제주특별자치도|제주특별자치도,43,903,0,0,원희룡,신구범
2014-local,충청남도|충청남도,206,21115,1,1,안희정,정진석
2014-local,충청북도|충청북도,153,11628,0,0,이시종,윤진식
2018-local,강원도|강원도,183,16653,0,0,최문순,정창수
2018-local,경기도|경기도,554,153181,0,0,이재명,남경필
2018-local,경상남도|경상남도,305,46360,0,0,김경수,김태호
2018-local,경상북도|경상북도,327,53301,0,0,이철우,오중기
2018-local,광주광역시|광주광역시,93,4278,0,0,이용섭,나경채
2018-local,대구광역시|대구광역시,139,9591,1,1,권영진,임대윤
2018-local,대전광역시|대전광역시,79,3081,0,0,허태정,박성효
2018-local,부산광역시|부산광역시,206,21115,0,0,오거돈,서병수
2018-local,서울특별시|서울특별시,406,82215,0,0,박원순,김문수
2018-local,세종특별자치시|세종특별자치시,17,136,0,0,이춘희,송아영
2018-local,울산광역시|울산광역시,56,1540,0,0,송철호,김기현
2018-local,인천광역시|인천광역시,144,10296,0,0,박남춘,유정복
2018-local,전라남도|전라남도,294,43071,0,0,김영록,민영삼
2018-local,전라북도|전라북도,234,27261,0,0,송하진,임정엽
2018-local,제주특별자치도|제주특별자치도,43,903,0,0,원희룡,문대림
2018-local,충청남도|충청남도,206,21115,0,0,양승조,이인제
2018-local,충청북도|충청북도,153,11628,0,0,이시종,박경국
2022-local,강원도|강원도,183,16653,0,0,김진태,이광재
2022-local,경기도|경기도,553,152628,0,0,김동연,김은혜
2022-local,경상남도|경상남도,302,45451,0,0,박완수,양문석
2022-local,경상북도|경상북도,325,52650,0,0,이철우,임미애
2022-local,광주광역시|광주광역시,95,4465,0,0,강기정,주기환
2022-local,대구광역시|대구광역시,142,10011,0,0,홍준표,서재헌
2022-local,대전광역시|대전광역시,81,3240,0,0,허태정,이장우
2022-local,부산광역시|부산광역시,205,20910,0,0,박형준,변성완
2022-local,서울특별시|서울특별시,408,83028,0,0,오세훈,송영길
2022-local,세종특별자치시|세종특별자치시,22,231,0,0,최민호,이춘희
2022-local,울산광역시|울산광역시,56,1540,0,0,김두겸,송철호
2022-local,인천광역시|인천광역시,148,10878,0,0,유정복,박남춘
2022-local,전라남도|전라남도,294,43071,1,1,김영록,이정현
2022-local,전라북도|전라북도,236,27730,0,0,김관영,조배숙
2022-local,제주특별자치도|제주특별자치도,43,903,0,0,오영훈,허향진
2022-local,충청남도|충청남도,207,21321,0,0,김태흠,양승조
2022-local,충청북도|충청북도,153,11628,1,1,김영환,노영민
