city,city_code,town,town_code,in_district_early_units,source_file,source_url
광주광역시,2900,동구,2901,13,data/nec_2026_official_html/2900_2901_동구.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
광주광역시,2900,서구,2902,18,data/nec_2026_official_html/2900_2902_서구.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
광주광역시,2900,남구,2903,17,data/nec_2026_official_html/2900_2903_남구.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
광주광역시,2900,북구,2904,27,data/nec_2026_official_html/2900_2904_북구.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
광주광역시,2900,광산구,2905,21,data/nec_2026_official_html/2900_2905_광산구.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,목포시,4601,23,data/nec_2026_official_html/4600_4601_목포시.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,여수시,4602,27,data/nec_2026_official_html/4600_4602_여수시.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,순천시,4604,24,data/nec_2026_official_html/4600_4604_순천시.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,나주시,4606,20,data/nec_2026_official_html/4600_4606_나주시.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,광양시,4607,12,data/nec_2026_official_html/4600_4607_광양시.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,담양군,4608,12,data/nec_2026_official_html/4600_4608_담양군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,장성군,4609,11,data/nec_2026_official_html/4600_4609_장성군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,곡성군,4610,11,data/nec_2026_official_html/4600_4610_곡성군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,구례군,4611,8,data/nec_2026_official_html/4600_4611_구례군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,고흥군,4612,16,data/nec_2026_official_html/4600_4612_고흥군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,보성군,4613,12,data/nec_2026_official_html/4600_4613_보성군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,화순군,4614,13,data/nec_2026_official_html/4600_4614_화순군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,장흥군,4615,10,data/nec_2026_official_html/4600_4615_장흥군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,강진군,4616,11,data/nec_2026_official_html/4600_4616_강진군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,완도군,4617,12,data/nec_2026_official_html/4600_4617_완도군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,해남군,4618,14,data/nec_2026_official_html/4600_4618_해남군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,진도군,4619,7,data/nec_2026_official_html/4600_4619_진도군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,영암군,4620,11,data/nec_2026_official_html/4600_4620_영암군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,무안군,4621,9,data/nec_2026_official_html/4600_4621_무안군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,영광군,4622,11,data/nec_2026_official_html/4600_4622_영광군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,함평군,4623,9,data/nec_2026_official_html/4600_4623_함평군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
전라남도,4600,신안군,4624,14,data/nec_2026_official_html/4600_4624_신안군.html,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020260603&topMenuId=VC&secondMenuId=VCCP08
